"","ID","State","StateName","JobCode","JobName","TotalEmployment","AverageHourlySalary","AverageYearlySalary"
"22388","41","OR","Oregon","27-1012","Craft artists",50,12.75,26520
"22389","78","VI","Virgin Islands","51-3021","Butchers and meat cutters",50,12.75,26520
"22390","45","SC","South Carolina","49-9063","Musical instrument repairers and tuners",50,12.78,26580
"22391","32","NV","Nevada","39-9041","Residential advisors",50,12.92,26870
"22392","78","VI","Virgin Islands","43-9041","Insurance claims and policy processing clerks",50,12.94,26910
"22393","05","AR","Arkansas","43-4021","Correspondence clerks",50,12.95,26930
"22394","33","NH","New Hampshire","51-4022","Forging machine setters, operators, and tenders, metal and plastic",50,12.95,26930
"22395","27","MN","Minnesota","51-6063","Textile knitting and weaving machine setters, operators, and tenders",50,12.98,27000
"22396","23","ME","Maine","33-3041","Parking enforcement workers",50,13.04,27110
"22397","49","UT","Utah","31-2012","Occupational therapist aides",50,13.04,27120
"22398","19","IA","Iowa","53-7072","Pump operators, except wellhead pumpers",50,13.05,27140
"22399","66","GU","Guam","21-2011","Clergy",50,13.07,27190
